开关（灯19）：开,1,0,0,5fc45c1b0dfd4e9e950bb94ea41d4ce2,灯19开,on,0,0,0,0
开关（灯19）：关,2,0,0,5fc45c1b0dfd4e9e950bb94ea41d4ce2,灯19关,off,0,0,0,0
S30插座：开,3,0,0,994af95626fb4852b3f1d818eecc0917,S30开,on,0,0,0,0
S30插座：关,4,0,0,994af95626fb4852b3f1d818eecc0917,S30关,off,0,0,0,0
继电器5：开,1,0,0,8cce15c3ba134b218978035e07337b47,继电器开,on,0,0,0,0
继电器5：关,2,0,0,8cce15c3ba134b218978035e07337b47,继电器关,off,0,0,0,0
调光灯（调光灯5test）：开,3,0,0,7a6e217190c64273afc7166626eb9d8e,调光灯开,on,0,0,0,0
调光灯（调光灯5test）：亮度调为20,4,0,0,7a6e217190c64273afc7166626eb9d8e,亮度为20,move to level,0,20,0,0
调光灯（调光灯5test）：亮度调为255,1,0,0,7a6e217190c64273afc7166626eb9d8e,亮度为255,move to level,0,255,0,0
调光灯（调光灯5test）：关,2,0,0,7a6e217190c64273afc7166626eb9d8e,关,off,1,0,0,0
色温灯2：开（饱和度30）,3,0,0,3f5129c646e0432aa02016622ef34a4a,色温灯开,on,0,200,30,0
色温灯2:饱和度80,4,0,0,3f5129c646e0432aa02016622ef34a4a,色温灯饱和度80,color temperature,0,130,80,0
色温灯2：饱和度400,1,0,0,3f5129c646e0432aa02016622ef34a4a,色温灯饱和度400,color temperature,0,10,400,0
色温灯2：关,2,0,0,3f5129c646e0432aa02016622ef34a4a,色温灯关,off,1,10,400,0
窗帘4：开,4,0,0,ab42f906aaa94ae4ae90dd1ed3c1204b,窗帘：开,open,100,0,0,0
RF灯：开,1,0,0,90e8fffe28c945a8a0b9212a059a26a4,RF灯：开,rf control,0,0,0,0
RF灯：关,2,0,0,90e8fffe28c945a8a0b9212a059a26a4,RF灯：关,rf control,1,0,0,0
RF灯：翻转,3,0,0,ab42f906aaa94ae4ae90dd1ed3c1204b,RF灯：翻转,rf control,2,0,0,0
奥科窗帘电机：开,4,0,0,68d1a08028ca4b8ab26850f9a6dc9064,奥科窗帘电机：开,rf control,380000,0,0,0
奥科窗帘电机：关,1,0,0,68d1a08028ca4b8ab26850f9a6dc9064,奥科窗帘电机：关,rf control,380001,0,0,0
奥科窗帘电机：停,2,0,0,68d1a08028ca4b8ab26850f9a6dc9064,奥科窗帘电机：停,rf control,380002,0,0,0
晾衣机：关,3,0,0,8e9eef1bbcae42f4b3903a6cb4f9768d,晾衣机：关,rf control,381000,0,0,0
晾衣机：照明,4,0,0,8e9eef1bbcae42f4b3903a6cb4f9768d,晾衣机：照明,rf control,381001,0,0,0
晾衣机：风干,1,0,0,8e9eef1bbcae42f4b3903a6cb4f9768d,晾衣机：风干,rf control,381002,0,0,0
晾衣机：烘干,2,0,0,8e9eef1bbcae42f4b3903a6cb4f9768d,晾衣机：烘干,rf control,381003,0,0,0
晾衣机：消毒,3,0,0,8e9eef1bbcae42f4b3903a6cb4f9768d,晾衣机：消毒,rf control,381004,0,0,0
晾衣机：上移,4,0,0,8e9eef1bbcae42f4b3903a6cb4f9768d,晾衣机：上移,rf control,381005,0,0,0
晾衣机：停止,1,0,0,8e9eef1bbcae42f4b3903a6cb4f9768d,晾衣机：停止,rf control,381006,0,0,0
晾衣机：下移,2,0,0,8e9eef1bbcae42f4b3903a6cb4f9768d,晾衣机：下移,rf control,381007,0,0,0
