caseName,uid,deviceId,order,value1,value2,value3,value4,assert,statusNum
【控制设备：ZigBee】调光灯（调光灯1）：开,5cffffe200b2,45c852eee0464cefb8e17f65751b31e8,on,0,0,0,0,"""status"": 0"
【控制设备：ZigBee】调光灯（调光灯1）：亮度调为20,5cffffe200b2,45c852eee0464cefb8e17f65751b31e8,move to level,0,20,0,0,"""status"": 0"
【控制设备：ZigBee】调光灯（调光灯1）：亮度调为-20,5cffffe200b2,45c852eee0464cefb8e17f65751b31e8,move to level,0,-20,0,0,"""status"": 0"
【控制设备：ZigBee】调光灯（调光灯1）：亮度调为255,5cffffe200b2,45c852eee0464cefb8e17f65751b31e8,move to level,0,255,0,0,"""status"": 0"
【控制设备：ZigBee】调光灯（调光灯1）：亮度调为256,5cffffe200b2,45c852eee0464cefb8e17f65751b31e8,move to level,0,255,0,0,"""status"": 0"
【控制设备：ZigBee】调光灯（调光灯1）：value1=1时调节亮度,5cffffe200b2,45c852eee0464cefb8e17f65751b31e8,move to level,0,255,0,0,"""status"": 0"
【控制设备：ZigBee】调光灯（调光灯1）：关,5cffffe200b2,45c852eee0464cefb8e17f65751b31e8,off,1,0,0,0,"""status"": 0"
【控制设备：ZigBee】色温灯：开（饱和度30）,5cffffe200b2,dc210852957d487382ef1941de014f91,on,0,200,30,0,"""status"": 0"
【控制设备：ZigBee】色温灯:饱和度80,5cffffe200b2,dc210852957d487382ef1941de014f91,color temperature,0,130,80,0,"""status"": 0"
【控制设备：ZigBee】色温灯：饱和度154,5cffffe200b2,dc210852957d487382ef1941de014f91,color temperature,0,200,154,0,"""status"": 0"
【控制设备：ZigBee】色温灯：饱和度370,5cffffe200b2,dc210852957d487382ef1941de014f91,color temperature,0,370,370,0,"""status"": 0"
【控制设备：ZigBee】色温灯：饱和度400,5cffffe200b2,dc210852957d487382ef1941de014f91,color temperature,0,10,400,0,"""status"": 0"
【控制设备：ZigBee】色温灯：饱和度400,5cffffe200b2,dc210852957d487382ef1941de014f91,off,1,10,400,0,"""status"": 0"
【控制设备：ZigBee】色温灯：关,5cffffe200b2,dc210852957d487382ef1941de014f91,off,1,10,400,0,"""status"": 0"
【控制设备：ZigBee】RGB灯：开（色度值:80）,5cffffe200b2,05d1f57f9ac7493ea289d54f051c7d1b,on,0,200,30,80,"""status"": 0"
【控制设备：ZigBee】RGB灯：move to hue（色度值:180）,5cffffe200b2,05d1f57f9ac7493ea289d54f051c7d1b,move to hue,0,200,30,180,"""status"": 0"
【控制设备：ZigBee】RGB灯：move to saturation,5cffffe200b2,05d1f57f9ac7493ea289d54f051c7d1b,move to saturation,0,200,30,180,"""status"": 0"
【控制设备：ZigBee】RGB灯：move hue and saturation,5cffffe200b2,05d1f57f9ac7493ea289d54f051c7d1b,move to saturation,0,200,150,90,"""status"": 0"
【控制设备：ZigBee】RGB灯：move hue and saturation,5cffffe200b2,05d1f57f9ac7493ea289d54f051c7d1b,move to saturation,1,200,150,90,"""status"": 0"
